birth_day,birth_month,birth_year
,,
10,12,1994
6,8,1993
25,12,1992
1,2,1995
9,1,1994
17,8,1994
27,9,1993
14,5,1994
11,4,1931
19,8,1993
16,5,1990
30,3,1995
16,10,NA
NA,NA,NA
2,4,NA
5,2,1994
22,1,NA
7,10,1994
23,2,1995
24,3,1994
1,4,1996
7,12,1995
4,11,1992
5,11,1993
NA,11,NA
21,9,1994
19,1,NA
14,4,NA
23,12,NA
29,1,1991
7,11,1991
15,2,NA
3,10,NA
14,1,NA
21,5,1995
NA,11,1992
NA,NA,1995
10,1,1995
14,23,2030
20,8,NA
NA,5,NA
13,6,1993
29,1,1996
NA,NA,NA
15,5,1994
27,12,1994
10,8,1995
25,5,1995
16,1,1996
16,1,1994
28,,NA
13,12,1994
4,4,NA
15,7,1996
30,1,1995
22,8,1995
17,1,1992
28,11,2018
17,3,1994
30,4,1994
16,1,NA
20,1,NA
20,11,1995
9,3,1996
NA,NA,NA
22,11,1991
23,1,NA
12,9,1994
10,9,1995
21,12,NA
28,1,NA
2,7,NA
30,12,1991
5,8,1995
27,9,1992
8,8,1993
10,3,1995
2,9,1990
11,11,NA
31,8,1994
5,2,1988
19,4,NA
5,10,1987
28,5,1992
29,7,NA
27,3,NA
3,4,1994
7,5,1994
28,6,NA
27,6,1995
2,9,1990
25,12,1994
30,3,NA
21,11,1993
12,4,1994
24,8,1992
7,11,NA
5,2,1990
9,9,1994
18,9,NA
17,8,NA
NA,2,NA
19,6,NA
22,12,1993
11,6,1993
17,5,1994
15,1,1993
20,2,1995
17,3,1992
14,1,1992
NA,NA,1991
10,9,1996
19,9,1993
9,9,NA
26,1,1994
24,11,1995
3,9,1994
9,11,NA
30,12,1992
18,2,1994
22,5,1996
13,9,1995
26,3,1993
15,11,NA
4,4,1990
19,4,1989
4,6,1992
5,4,1995
22,9,1988
14,3,1981
31,12,1993
11,2,1996
20,3,1995
19,5,NA
NA,NA,NA
10,12,1995
23,1,1994
18,2,1993
17,6,NA
2,9,1996
24,4,1995
29,3,NA
23,6,1994
25,1,1990
6,9,1994
16,1,1995
13,6,1994
24,4,NA
14,1295,1995
24,5,1993
12,7,1990
18,1,1997
5,2,1988
6,11,1992
7,3,1995
31,7,1992
1,10,1768
NA,NA,1994
12,10,1991
2,7,1993
3,12,1993
18,9,1991
23,1,1994
12,10,1994
5,11,1990
1,6,1994
NA,NA,1991
1,3,1995
2,3,1996
5,8,1987
NA,NA,NA
28,3,1995
27,1,1995
10,9,NA
9,7,1994
18,5,NA
25,1,1996
11,2,1994
15,8,1995
12,9,1996
11,8,1992
23,12,1991
13,6,1993
26,6,NA
12,2,1993
10,4,NA
1,3,1995
25,8,1996
7,7,1992
2,4,1995
17,11,NA
1,9,1994
23,2,1995
2,9,1993
7,6,1993
1,12,NA
19,3,1993
NA,NA,NA
24,9,1996
5,2,1996
NA,NA,1995
NA,NA,1990
26,11,1993
18,8,1994
30,12,1990
7,8,NA
5,4,2000
25,12,1991
18,3,NA
24,1,1993
9,2,1993
9,11,NA
22,11,1991
20,5,1993
30,7,1992
4,12,1991
7,10,1994
